City mpg,Classification,Driveline,Engine Type,Fuel Type,Height,Highway mpg,Horsepower,Hybrid,ID,Length,Make,Model Year,Number of Forward Gears,Torque,Transmission,Width,Year
18,Automatic transmission,All-wheel drive,Audi 3.2L 6 cylinder 250hp 236ft-lbs,Gasoline,140,25,250,FALSE,2009 Audi A3 3.2,143,Audi,2009 Audi A3,6,236,6 Speed Automatic Select Shift,202,2009
22,Automatic transmission,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,140,28,200,FALSE,2009 Audi A3 2.0 T AT,143,Audi,2009 Audi A3,6,207,6 Speed Automatic Select Shift,202,2009
21,Manual transmission,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,140,30,200,FALSE,2009 Audi A3 2.0 T,143,Audi,2009 Audi A3,6,207,6 Speed Manual,202,2009
21,Automatic transmission,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,140,28,200,FALSE,2009 Audi A3 2.0 T Quattro,143,Audi,2009 Audi A3,6,207,6 Speed Automatic Select Shift,202,2009
21,Automatic transmission,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,140,28,200,FALSE,2009 Audi A3 2.0 T Quattro,143,Audi,2009 Audi A3,6,207,6 Speed Automatic Select Shift,202,2009
16,Manual transmission,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,Gasoline,91,27,265,FALSE,2009 Audi A5 3.2,17,Audi,2009 Audi A4 Sedan,6,243,6 Speed Manual,62,2009
17,Automatic transmission,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,Gasoline,91,26,265,FALSE,2009 Audi A5 3.2 AT,17,Audi,2009 Audi A4 Sedan,6,243,6 Speed Automatic Select Shift,62,2009
13,Automatic transmission,All-wheel drive,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,Gasoline,201,18,350,FALSE,2009 Audi Q7 4.2,221,Audi,2009 Audi A4 Sedan,6,325,6 Speed Automatic Select Shift,191,2009
14,Automatic transmission,All-wheel drive,Audi 3.6L 6 cylinder 280hp 266 ft-lbs,Gasoline,201,20,280,FALSE,2009 Audi Q7 3.6,221,Audi,2009 Audi A5,6,266,6 Speed Automatic Select Shift,191,2009
22,Manual transmission,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,Gasoline,147,30,211,FALSE,2009 Audi A4 Sedan 2.0 T Quattro,96,Audi,2009 Audi A5,6,258,6 Speed Manual,34,2009
21,Automatic transmission,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,Gasoline,147,27,211,FALSE,2009 Audi A4 Sedan 2.0 T Quattro AT,96,Audi,2009 Audi Q5,6,258,6 Speed Automatic Select Shift,34,2009
17,Automatic transmission,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,Gasoline,147,26,265,FALSE,2009 Audi A4 Sedan 3.2,96,Audi,2009 Audi Q7,6,243,6 Speed Automatic Select Shift,34,2009
20,Automatic transmission,Front-wheel drive,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,Gasoline,172,29,280,FALSE,2012 Acura TL,63,Acura,2009 Audi Q7,6,254,6 Speed Automatic Select Shift,87,2012
18,Automatic transmission,All-wheel drive,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,Gasoline,172,26,305,FALSE,2012 Acura TL SH-AWD,63,Acura,2009 Audi Q7,6,273,6 Speed Automatic Select Shift,87,2012
12,Automatic transmission,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,226,17,555,FALSE,2010 BMW X5 M SUV,243,BMW,2009 BMW 7 Series,6,500,6 Speed Automatic Select Shift,201,2010
12,Automatic transmission,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,226,17,555,FALSE,2011 BMW X5 M SUV,243,BMW,2009 BMW 7 Series,6,500,6 Speed Automatic Select Shift,201,2011
12,Automatic transmission,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,148,17,555,FALSE,2010 BMW X6 M,12,BMW,2009 Chevrolet Silverado 1500 Hybrid,6,500,6 Speed Automatic Select Shift,191,2010
12,Automatic transmission,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,Gasoline,148,17,555,FALSE,2011 BMW X6 M,12,BMW,2009 Chevrolet Silverado 1500 Hybrid,6,500,6 Speed Automatic Select Shift,191,2011
18,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,25,185,FALSE,2012 Chevrolet Colorado Work Truck,22,Chevrolet,2009 Chevrolet Silverado 1500 Hybrid,5,190,5 Speed Manual,181,2012
18,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,25,185,FALSE,2012 Chevrolet Colorado Extended Cab Work Truck,140,Chevrolet,2009 Chevrolet Silverado 1500 Hybrid,5,190,5 Speed Manual,181,2012
18,Automatic transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,120,25,185,FALSE,2012 Chevrolet Colorado Crew Cab 1LT,140,Chevrolet,2009 Hyundai Elantra Touring,4,190,4 Speed Automatic,181,2012
18,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,25,185,FALSE,2011 Chevrolet Colorado Work Truck,22,Chevrolet,2009 Hyundai Elantra Touring,5,190,5 Speed Manual,181,2011
18,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,25,185,FALSE,2011 Chevrolet Colorado Extended Cab Work Truck,140,Chevrolet,2009 Infiniti EX,5,190,5 Speed Manual,181,2011
18,Automatic transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,120,25,185,FALSE,2011 Chevrolet Colorado Crew Cab 1LT,140,Chevrolet,2009 Infiniti EX,4,190,4 Speed Automatic,181,2011
18,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,25,185,FALSE,2010 Chevrolet Colorado Work Truck,22,Chevrolet,2009 Infiniti EX,5,190,5 Speed Manual,181,2010
20,Manual transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,112,26,185,FALSE,2010 Chevrolet Colorado Extended Cab Work Truck,140,Chevrolet,2009 Infiniti EX,5,190,5 Speed Manual,181,2010
18,Automatic transmission,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,Gasoline,120,25,185,FALSE,2010 Chevrolet Colorado Crew Cab LT1,140,Chevrolet,2009 Infiniti G37 Convertible,4,190,4 Speed Automatic,181,2010
13,Automatic transmission,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,77,18,310,FALSE,2012 Chevrolet Express LS 1500,60,Chevrolet,2009 Infiniti G37 Convertible,4,334,4 Speed Automatic,219,2012
9,Automatic transmission,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,E85,77,12,310,FALSE,2012 Chevrolet Express LS 1500 AWD,60,Chevrolet,2009 Infiniti M,4,334,4 Speed Automatic,219,2012
13,Automatic transmission,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,77,17,310,FALSE,2011 Chevrolet Express LS 1500,60,Chevrolet,2009 Lotus Elise,4,334,4 Speed Automatic,219,2011
13,Automatic transmission,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,77,17,310,FALSE,2011 Chevrolet Express LS 1500 AWD,60,Chevrolet,2009 Lotus Elise,4,334,4 Speed Automatic,219,2011
8,Automatic transmission,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 280 hp 295 ft-lbs FFV,E85,22,12,280,FALSE,2011 Chevrolet Express LS 2500,60,Chevrolet,2009 Lotus Exige,6,295,6 Speed Automatic,219,2011
8,Automatic transmission,Rear-wheel drive,Chevrolet 6.0L 8 Cylinder 324 hp 373 ft-lbs FFV,E85,22,12,324,FALSE,2011 Chevrolet Express LS 2500 6.0L,60,Chevrolet,2009 Lotus Exige,6,373,6 Speed Automatic,219,2011
10,Automatic transmission,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,E85,24,13,310,FALSE,2010 Chevrolet Express LS 1500,60,Chevrolet,2009 Maybach Landaulet,4,334,4 Speed Automatic,224,2010
13,Automatic transmission,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,24,17,310,FALSE,2010 Chevrolet Express LS 1500 AWD,60,Chevrolet,2009 Nissan 370Z Coupe,4,334,4 Speed Automatic,224,2010
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,77,20,195,FALSE,2011 Chevrolet Silverado 1500 Work Truck,102,Chevrolet,2009 Nissan 370Z Coupe,4,260,4 Speed Automatic,237,2011
14,Automatic transmission,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,Gasoline,82,19,302,FALSE,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,215,Chevrolet,2009 Nissan 370Z Coupe,4,305,4 Speed Automatic,240,2011
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,85,20,195,FALSE,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,215,Chevrolet,2009 Nissan 370Z Coupe,4,260,4 Speed Automatic,237,2011
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,85,20,195,FALSE,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,215,Chevrolet,2009 Nissan 370Z Coupe,4,260,4 Speed Automatic,237,2010
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,77,20,195,FALSE,2010 Chevrolet Silverado 1500 Work Truck,102,Chevrolet,2009 Nissan Cube,4,260,4 Speed Automatic,237,2010
14,Automatic transmission,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,Gasoline,82,19,302,FALSE,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,215,Chevrolet,2009 Nissan Cube,4,305,4 Speed Automatic,240,2010
18,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,43,26,350,FALSE,2011 Nissan 370Z NISMO,52,Nissan,2009 Nissan Pathfinder,6,276,6 Speed Manual,52,2011
18,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,35,26,350,FALSE,2010 Nissan 370Z NISMO,75,Nissan,2009 Nissan Pathfinder,6,276,6 Speed Manual,52,2010
18,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,35,26,350,FALSE,2009 Nissan 370Z NISMO,75,Nissan,2009 Nissan Pathfinder,6,276,6 Speed Manual,52,2009
21,Manual transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,29,227,FALSE,2011 Volvo C30 T5,168,Volvo,2009 Nissan Pathfinder,6,236,6 Speed Manual,247,2011
21,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,30,227,FALSE,2011 Volvo C30 T5 AT,168,Volvo,2009 Nissan Pathfinder,5,236,5 Speed Automatic,247,2011
21,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,30,227,FALSE,2010 Volvo C30 T5 AT,155,Volvo,2009 Nissan Pathfinder,5,236,5 Speed Automatic,247,2010
21,Manual transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,29,227,FALSE,2010 Volvo C30 T5,155,Volvo,2009 Nissan Pathfinder,6,236,6 Speed Manual,247,2010
9,Automatic transmission,Rear-wheel drive,Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo,Gasoline,193,15,530,FALSE,2010 Bentley Brooklands,34,Bentley,2009 Nissan Pathfinder,6,774,6 Speed Automatic,107,2010
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,99,14,621,FALSE,2012 Bentley Continental Supersports Convertible,195,Bentley,2010  Volkswagen Routan,6,590,6 Speed Automatic,153,2012
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,110,14,621,FALSE,2012 Bentley Continental Supersports Coupe,199,Bentley,2010  Volkswagen Routan,6,590,6 Speed Automatic Select Shift,153,2012
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,99,14,621,FALSE,2011 Bentley Continental Supersports Convertible,195,Bentley,2010  Volkswagen Routan,6,590,6 Speed Automatic,153,2011
12,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,Gasoline,99,19,621,FALSE,2010 Bentley Continental Supersports,195,Bentley,2010  Volkswagen Routan,6,590,6 Speed Automatic,153,2010
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,E85,118,13,552,FALSE,2012 Bentley Continental Flying Spur,170,Bentley,2010 Acura MDX,6,479,6 Speed Automatic,184,2012
11,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,Gasoline,108,19,600,FALSE,2012 Bentley Continental Flying Spur Speed,170,Bentley,2010 Acura RDX,6,553,6 Speed Automatic,184,2012
10,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,Gasoline,185,17,600,FALSE,2011 Bentley Continental Flying Spur Speed,170,Bentley,2010 Acura RDX,6,553,6 Speed Automatic,184,2011
10,Automatic transmission,All-wheel drive,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,Gasoline,185,17,600,FALSE,2010 Bentley Continental Flying Spur Speed,170,Bentley,2010 Acura RL,6,553,6 Speed Automatic,184,2010
10,Automatic transmission,All-wheel drive,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,Gasoline,195,17,552,FALSE,2010 Bentley Continental Flying Spur,170,Bentley,2010 Acura TL,6,479,6 Speed Automatic,184,2010
19,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,120,28,227,FALSE,2011 Volvo C70 T5,7,Volvo,2010 Acura TL,5,236,5 Speed Automatic,44,2011
